iso3,fa,hazard_name
KGZ,0.017233866385349995,earthquake
LAO,0.0007461400258000002,earthquake
LBR,8.138487880000001e-05,earthquake
LSO,0.0013663119404666668,earthquake
MAR,0.0017298273730333331,earthquake
MDA,0.0001904574605666667,earthquake
MDG,5.37934352e-05,earthquake
MEX,0.0008810771590999997,earthquake
MKD,0.0043493407980499995,earthquake
MNE,0.0012412850985333331,earthquake
MNG,0.0007087857738499999,earthquake
MOZ,0.0007022583043,earthquake
MRT,0.00014255244645000002,earthquake
MWI,0.00097910794295,earthquake
NAM,0.00012540774688333335,earthquake
NGA,5.1662611583333335e-05,earthquake
NIC,0.005951307869233334,earthquake
NLD,0.00026496497158333334,earthquake
NPL,0.0012895596265666668,earthquake
PAK,0.0010064658913999998,earthquake
PAN,0.0016029987301166668,earthquake
PER,0.03258766887683334,earthquake
PHL,0.005439006663483333,earthquake
POL,0.0007779979548666666,earthquake
PSE,0.0006857799635333333,earthquake
ROU,0.0012808623768833336,earthquake
RUS,0.00027052017055,earthquake
RWA,0.0014058365543166663,earthquake
SDN,4.4356414049999995e-05,earthquake
SEN,3.2465527233333335e-05,earthquake
SLE,4.6518359766666664e-05,earthquake
SLV,0.0076798113916,earthquake
SRB,0.0012575744068166667,earthquake
SVK,0.0003169737550166667,earthquake
SVN,0.0029978184746333333,earthquake
SWZ,0.001648138382683333,earthquake
SYR,0.0014138540109166666,earthquake
THA,0.00014815391700000004,earthquake
TJK,0.02065411975151667,earthquake
TLS,0.005150346418133334,earthquake
TUN,0.004137226268150001,earthquake
TUR,0.004541238789633334,earthquake
TZA,0.0011270754769000001,earthquake
UGA,0.0012650406986333337,earthquake
UKR,2.88060293e-05,earthquake
USA,0.0009274720838666666,earthquake
UZB,0.009916181876049998,earthquake
VEN,0.002613792119766667,earthquake
YEM,0.0019325404526166668,earthquake
ZAF,0.0007288565680333333,earthquake
ZMB,0.0007872670679833334,earthquake
AUS,0.00027135377666666664,surge
BGD,0.00011241852666666667,surge
CHN,0.00027246442,surge
COL,1.736845e-06,surge
COM,0.00031097137666666666,surge
DOM,0.0006572154366666666,surge
FJI,0.023106061206666667,surge
FSM,0.0019193316,surge
GTM,1.7429280333333334e-05,surge
HND,0.00010765769506666667,surge
HTI,0.0032363373666666672,surge
IDN,4.760209e-05,surge
IND,0.00020142424668013337,surge
IRN,8.481000000000002e-08,surge
JAM,0.003308219996666667,surge
JPN,0.00207835913,surge
KHM,8.806000000000001e-08,surge
LKA,8.484858000000001e-05,surge
MDG,0.0009505173433333335,surge
MEX,6.704354666666667e-05,surge
MOZ,0.0004133058966666667,surge
MUS,0.0023548990666666667,surge
MYS,1.13097e-06,surge
NIC,0.000109014885,surge
PAK,4.5585690000000006e-05,surge
PAN,2.408e-07,surge
PHL,0.019330558969999998,surge
RUS,9.235105533333332e-06,surge
SLV,1.97711152e-06,surge
THA,2.52e-07,surge
TZA,9.234900000000001e-10,surge
USA,0.00056280394,surge
VEN,1.9732733333333335e-05,surge
VNM,0.00035402337,surge
AGO,2.5745833333333337e-09,tsunami
ALB,2.70043895e-06,tsunami
ARG,6.071063333333334e-08,tsunami
AUS,1.40515895e-05,tsunami
BGD,3.273210831666667e-05,tsunami
BRA,1.114442e-07,tsunami
CAN,1.302540716666667e-06,tsunami
CHL,0.00012120182931666667,tsunami
CHN,6.665925294666667e-06,tsunami
CIV,5.853371666666668e-08,tsunami
COL,5.771921240000001e-05,tsunami
COM,1.6615500000000001e-09,tsunami
CRI,9.996789949999999e-06,tsunami
DJI,7.928176666666667e-08,tsunami
DOM,3.96944685e-06,tsunami
ECU,1.168341915e-05,tsunami
EGY,2.448709306666667e-05,tsunami
ESP,2.064267703333333e-06,tsunami
FJI,1.1056090583333334e-05,tsunami
FRA,2.425506e-08,tsunami
FSM,3.6601626483333334e-05,tsunami
GAB,2.3595833333333335e-09,tsunami
GBR,1.0777366666666667e-08,tsunami
GHA,1.184692666666667e-08,tsunami
GIN,7.916666666666666e-09,tsunami
GMB,2.931436666666667e-08,tsunami
GNB,2.002725e-09,tsunami
